source,target,weight
nota,roble,1887
barrica,garnacha,1883
acidez,brillante,1876
fina,ribete,1867
aroma,especia,1865
rcp,negro,1855
limpio,color,1855
final,crianza,1848
tanino,vainilla,1842
tanino,entrada,1836
granate,fruta,1836
botella,crianza,1833
francés,tanino,1832
crianza,rcp,1828
acidez,vainilla,1828
fruta,bodega,1825
fruta,regaliz,1824
rojo,garnacha,1823
nariz,entrada,1819
largo,negro,1819
francés,boca,1818
capa,persistencia,1817
brillante,nariz,1810
picota,tempranillo,1805
picota,crianza,1802
roble,especia,1799
sedoso,fruta,1788
boca,intensidad,1787
nariz,vainilla,1785
largo,nota,1784
color,intensidad,1781
limpio,nariz,1770
entrada,ribete,1770
tostado,especia,1769
francés,alta,1768
rcp,tempranillo,1767
acidez,limpio,1766
alta,final,1760
nariz,balsámico,1760
tostado,ribete,1758
picota,tostado,1747
cereza,alta,1746
alta,tempranillo,1746
acidez,fresco,1746
rcp,madura,1741
tempranillo,negro,1737
fruta,dulce,1731
alta,tostado,1730
suave,rojo,1727
aroma,crianza,1726
largo,aroma,1724
alta,fina,1722
lágrima,final,1722
francés,picota,1721
aroma,fina,1721
intenso,capa,1708
barrica,final,1708
rojo,limpio,1707
intensidad,madura,1706
color,toque,1704
final,intensidad,1697
barrica,nariz,1694
fruta,volúmen,1685
intenso,negro,1682
nota,especia,1682
largo,alta,1682
rojo,botella,1681
crianza,ribete,1679
lágrima,especia,1676
mineral,acidez,1670
fresco,color,1666
rojo,intensidad,1665
especia,rcp,1663
brillante,capa,1660
limpio,capa,1658
entrada,rcp,1658
picota,largo,1658
nariz,tempranillo,1658
crianza,garnacha,1654
limpio,ribete,1654
capa,vainilla,1651
acidez,toque,1648
nota,fina,1648
intenso,crianza,1647
año,barrica,1646
acidez,intenso,1646
picota,final,1646
elegante,fruta,1645
cereza,crianza,1643
rubí,fruta,1640
especia,crianza,1637
barrica,intenso,1637
suave,color,1632
fruta,violáceo,1631
barrica,cereza,1628
cereza,final,1626
intenso,nariz,1620
suave,tanino,1616
acidez,seco,1615
picota,fina,1612
barrica,ribete,1612
cereza,negro,1612
largo,crianza,1611
intenso,tanino,1609
aroma,entrada,1608
barrica,fina,1608
intenso,picota,1608
nariz,roble,1602
tanino,limpio,1602
especia,final,1602
barrica,aroma,1597
intenso,madura,1596
tostado,aroma,1590
limpio,aroma,1590
brillante,tanino,1587
acidez,cuerpo,1586
lágrima,entrada,1585
nariz,intensidad,1579
granate,color,1579
francés,madura,1577
tostado,final,1577
