palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
godello,272,286,5563,0.0025687294812061774,0.5835777126099707,0.019580088851459797,0
albaricoque,218,226,5465,0.0017168344974020932,0.5637393767705382,0.02342986805437858,3
grande,223,133,5429,0.0025698493164720403,0.5355220667384284,0.003425064917025476,2
cremoso,224,203,5385,0.0006253395312403392,0.5564876957494407,0.02256973602099743,3
beber,301,282,5229,0.002554019873133746,0.5822118197776478,0.017836454764923387,0
balsámico,204,228,5227,0.0015999993484219594,0.5643788996029495,0.022146099862590526,3
primer,286,332,5165,0.007701711545307019,0.5997588908981314,0.014844438106596119,0
vainilla,210,212,5112,0.0007499767969184974,0.5593029792017987,0.021637147143464926,3
pequeña,249,271,5098,0.0036870111587933465,0.5784883720930233,0.011774450786076203,2
graso,203,224,5066,0.0009846353805947768,0.5631013016411998,0.019647819115116687,3
paso,225,243,4988,0.0013117790925579595,0.5692219679633868,0.019530302675266363,3
amplio,216,222,4934,0.0011037632214373806,0.562464669304692,0.02049848859247229,3
viura,232,228,4878,0.0010485389959723598,0.5643788996029495,0.017597928431602294,0
paciencia,144,82,4822,0.0021234627108591758,0.5212152959664746,0.0015878394862837548,2
amargor,209,162,4815,0.0009736020042539133,0.544013121924549,0.024148245116542486,3
adaptación,143,65,4784,2.115774269390658e-05,0.49135802469135803,0.0006921831864487352,2
superación,142,65,4783,2.115774269390658e-05,0.49135802469135803,0.0006914435565569246,2
resistencia,142,65,4783,2.115774269390658e-05,0.49135802469135803,0.0006914435565569245,2
estoicismo,142,65,4783,2.115774269390658e-05,0.49135802469135803,0.0006914435565569246,2
fortaleza,142,65,4783,2.115774269390658e-05,0.49135802469135803,0.0006914435565569244,2
invulnerabilidad,142,65,4783,2.115774269390658e-05,0.49135802469135803,0.0006914435565569243,2
recuperar,147,73,4776,0.0012701543780779553,0.5187695516162669,0.0010151294899334164,2
sobrevivir,140,64,4767,1.7562750069258635e-05,0.49111549851924974,0.000689591224270723,2
tiempo,266,295,4767,0.002951285711263871,0.5866745283018868,0.014036372019511332,0
sobreponer,136,64,4742,1.7562750069258635e-05,0.49111549851924974,0.0006889268533036751,2
fuerza,141,70,4736,0.0010338863323609891,0.5176899063475546,0.0009205670440353506,2
vigor,131,64,4695,2.0242136593149647e-05,0.49111549851924974,0.0006866017954885252,2
energía,131,64,4694,2.0242136593149647e-05,0.49111549851924974,0.0006843276540659973,2
tolerancia,130,64,4694,2.0242136593149647e-05,0.49111549851924974,0.0006843276540659984,2
impertable,130,64,4694,2.0242136593149647e-05,0.49111549851924974,0.0006843276540659984,2
resignación,130,64,4694,2.0242136593149647e-05,0.49111549851924974,0.000684327654065998,2
firmeza,130,64,4694,2.0242136593149647e-05,0.49111549851924974,0.0006843276540660003,2
vez,266,295,4692,0.003000464606162802,0.5866745283018868,0.013007935148040401,0
viña,218,258,4637,0.002550921738337637,0.5741488747836122,0.015002559896804497,0
sufrimiento,128,64,4634,2.0242136593149647e-05,0.49111549851924974,0.00066765463935354,2
flema,128,64,4634,2.0242136593149647e-05,0.49111549851924974,0.0006676546393535377,2
valiente,130,64,4616,5.563034524202785e-05,0.49111549851924974,0.0006668733108873534,2
tomar,219,254,4600,0.002165869436925219,0.5705275229357798,0.01619743248088993,0
ligeramente,191,194,4520,0.001277364709117016,0.55370061213133,0.01995001182079068,3
ver,304,287,4473,0.005256852882735917,0.5839201877934272,0.011667711715967755,0
menos,247,275,4416,0.0028180634488925065,0.5798368298368298,0.013595222735847403,0
guardar,249,263,4406,0.0024341970087945488,0.5758101851851852,0.012510089371964867,0
