palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
paladar,38,49,733,0.0010277999013918915,0.5251396648044693,0.057495975622347,1
coupage,49,63,710,0.012233896683208323,0.5465116279069767,0.05326270399779941,2
frutal,50,57,710,0.002988651940466709,0.5371428571428571,0.0590980033818639,1
golosina,49,64,708,0.01381032053747948,0.5820433436532507,0.05555475010036525,1
cebolla,43,52,683,0.0007111161679371941,0.5295774647887324,0.05694526197809837,1
uva,45,54,677,0.0023836860223252305,0.5645645645645646,0.052205804296394015,1
mineral,37,57,658,0.009630694650441658,0.5893416927899686,0.05373437161022525,1
lágrima,31,57,641,0.004048465409257308,0.5371428571428571,0.04833267043102629,1
destello,28,45,641,0.0004361512496681458,0.56797583081571,0.051604795915786025,1
grande,27,38,635,0.0001517047824932681,0.5562130177514792,0.0014355148853467479,0
paciencia,22,37,623,0.0011661075133264996,0.4361948955916473,0.0006209736390955998,0
recuperar,21,37,622,0.0011661075133264996,0.4361948955916473,0.00060964681697304,0
sufrimiento,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730517,0
invulnerabilidad,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730358,0
sobreponer,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730391,0
sobrevivir,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730774,0
superación,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730358,0
fuerza,23,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730542,0
estoicismo,20,37,622,0.0011661075133264996,0.4361948955916473,0.000609646816973062,0
vigor,21,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730784,0
firmeza,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730317,0
tolerancia,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730585,0
valiente,21,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730434,0
resignación,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730101,0
resistencia,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730427,0
energía,20,37,622,0.0011661075133264996,0.4361948955916473,0.000609646816973057,0
fortaleza,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730245,0
flema,20,37,622,0.0011661075133264996,0.4361948955916473,0.000609646816973064,0
impertable,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730578,0
adaptación,20,37,622,0.0011661075133264996,0.4361948955916473,0.0006096468169730418,0
piel,37,51,618,0.0012412702024717044,0.5280898876404494,0.050229045170001804,1
cuerpo,47,57,609,0.005258435614315247,0.5893416927899686,0.04860019851698985,1
salmón,35,50,601,0.0011785565289945767,0.5266106442577031,0.05019960392511377,1
untuoso,36,50,572,0.0029203170629954105,0.5266106442577031,0.04807886933055793,1
recordar,43,50,538,0.00709859554864675,0.5266106442577031,0.04537134934600171,1
intrépido,16,33,518,0.0,0.4017094017094017,0.00033557751270963965,0
invencible,16,33,518,0.0,0.4017094017094017,0.00033557751270968963,0
bravo,16,33,518,0.0,0.4017094017094017,0.0003355775127096955,0
baja,36,50,508,0.006204861054673318,0.5266106442577031,0.04248471546792942,1
correcto,42,46,505,0.0031306042726568385,0.5207756232686981,0.04359239198502076,1
goloso,36,51,502,0.008137395063988088,0.5280898876404494,0.042158137661909845,1
salud,26,41,496,0.0006845678310008724,0.5136612021857924,0.03881041849285174,1
vitalidad,15,33,494,0.0,0.4017094017094017,0.0003165420578293147,0
osado,15,33,494,0.0,0.4017094017094017,0.00031654205782932765,0
memorable,15,33,494,0.0,0.4017094017094017,0.0003165420578292911,0
denodado,15,33,494,0.0,0.4017094017094017,0.00031654205782931735,0
aguante,15,33,494,0.0,0.4017094017094017,0.0003165420578293175,0
indomable,15,33,494,0.0,0.4017094017094017,0.0003165420578293101,0
épico,15,33,494,0.0,0.4017094017094017,0.00031654205782931475,0
esforzado,15,33,494,0.0,0.4017094017094017,0.0003165420578293193,0
dulce,42,44,493,0.003105681344104371,0.5481049562682215,0.04371342182236287,1
